No.,Review,aspek,span,sentimen,ordinal
314,"Tempatnya bagus, Bersih, Nyaman banget buat makan bareng teman atau keluarga, pelayanannya juga terbaik",tempat,Tempatnya,positif,0
314,"Tempatnya bagus, Bersih, Nyaman banget buat makan bareng teman atau keluarga, pelayanannya juga terbaik",pelayanan,pelayanannya,positif,0
315,Pelayananya memuaskan.aneka menu nya juga komplit.pokonya recomended lah buat nongkrong sama temen ataupun keluarga.tempatnya juga enak.nyaman,pelayanan,Pelayananya,positif,0
315,Pelayananya memuaskan.aneka menu nya juga komplit.pokonya recomended lah buat nongkrong sama temen ataupun keluarga.tempatnya juga enak.nyaman,tempat,tempatnya,positif,0
316,"Makanannya enak banget, pegawainya juga ramah senyum dan pelayanannya cepat suasananya juga cocok untuk santai sambil menikmati makanan.. 👍👍 …",pelayanan,pelayanannya,positif,0
317,Saya baru-baru ini mengunjungi McDonald's Bandung Buah Batu dan pengalaman saya cukup positif. Restorannya terletak di lokasi yang strategis dan mudah diakses. Pelayanan dari staf sangat ramah dan efisien. Mereka dengan cepat mengambil …,pelayanan,Pelayanan,positif,0
318,Wow tempat nya cukup baik dan bagus bisa buat tempat nongkrong bareng pacar atau teman teman kalian dan keluarga kalian dan semuanya pelayan nya ramah 😁 …,tempat,tempat,positif,0
319,"Restoran makanan cepat saji yang buka 24 jam, pemesanan bisa di lakukan via McD app, ojek online, drive thru atau bisa juga makan langsung di tempat. Tempat nyaman untuk bawa keluarga. Variasi makanan juga banyak. Favorit saya eskrimnya, …",tempat,Tempat,positif,1
320,"McDonald's selalu menjadi pilihan terbaik untuk suasana bersama teman , pasangan, ataupun keluarga ,baik di segi olahan makanan/minuman , pelayanan , ataupun suasana lingkungan. …",pelayanan,pelayanan,positif,0
321,Tempat bagus dan makanan enak.. Sangat rekomendasi banget,tempat,Tempat,positif,0
322,"Pas banget buat tempat ketemuan sama temen, sekaligus bisa makan siang, sembari ngobrolin apa aja. …",tempat,tempat,positif,0
323,"McD cabang yg ini enak tempat bersih, antriannya jg cepet, dipake nongkrong sambil meeting kecil pun bisa bgt",tempat,tempat,positif,0
324,"Rasa makanannya  pas di lidah, bumbu meresap , di jamin kebersihannya , anak anak pada suka , ada berbagai menu  bisa di pilih , harga  terjangkau  , …",rasa,Rasa,positif,0
324,"Rasa makanannya  pas di lidah, bumbu meresap , di jamin kebersihannya , anak anak pada suka , ada berbagai menu  bisa di pilih , harga  terjangkau  , …",harga,harga,positif,0
326,"McD memang terbaik, rasanya juga gak pernah ngebosenin. Disukai semua kalangan karna harganya lumayan terjangkau, penyajiannya yang menarik dan pelayanannya juga baik.",rasa,rasanya,positif,0
326,"McD memang terbaik, rasanya juga gak pernah ngebosenin. Disukai semua kalangan karna harganya lumayan terjangkau, penyajiannya yang menarik dan pelayanannya juga baik.",harga,harganya,positif,0
326,"McD memang terbaik, rasanya juga gak pernah ngebosenin. Disukai semua kalangan karna harganya lumayan terjangkau, penyajiannya yang menarik dan pelayanannya juga baik.",pelayanan,pelayanannya,positif,0
327,"Jalan"" ke Bandung, jgn lupa mampir ke MC Donald's Bandung Buah Batu, Bro & Sis.
Kami sekeluarga saat mampir ke sana senang banget dengan suasana tempat nya yg bagus & humble. …",tempat,tempat,positif,0
328,"Dinilai dari standar restoran cepat saji cukup bagus ya, pelayanan dan tempatnya enak, cocok untuk pilihan cepat.  Makanannya enak kok, variasi menu juga banyak, ga itu2 aja. jadi rekomended untuk yang lagi ada disekitar buah batu.",pelayanan,pelayanan,positif,0
328,"Dinilai dari standar restoran cepat saji cukup bagus ya, pelayanan dan tempatnya enak, cocok untuk pilihan cepat.  Makanannya enak kok, variasi menu juga banyak, ga itu2 aja. jadi rekomended untuk yang lagi ada disekitar buah batu.",tempat,tempatnya,positif,0
331,"Saya baru saja mencoba burger disini dan saya sangat terkesan dengan rasa dan kualitasnya. Rotinya lembut dan empuk, dagingnya sangat juicy dan penuh rasa, dan sayurannya segar dan renyah. Saya juga senang dengan opsi untuk menambahkan …",rasa,rasa,positif,1
332,"Sangat nyaman dan betah sekali untuk makan dan minum disini. Pelayanannya cepat dan ramah, bersih, dan yang paling penting tempatnya bikin good feeling banget.",pelayanan,Pelayanannya,positif,0
332,"Sangat nyaman dan betah sekali untuk makan dan minum disini. Pelayanannya cepat dan ramah, bersih, dan yang paling penting tempatnya bikin good feeling banget.",tempat,tempatnya,positif,0
333,"Tempat yang nyaman dan pelayanan yang baik, sangat di rekomendasikan untuk menikmati akhir pekan disini",tempat,Tempat,positif,0
333,"Tempat yang nyaman dan pelayanan yang baik, sangat di rekomendasikan untuk menikmati akhir pekan disini",pelayanan,pelayanan,positif,0
334,"Mampir di sini bareng temen mau makan siang, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak pelayannya juga ramah. Disini memiliki tempat …",tempat,tempatnya,positif,0
334,"Mampir di sini bareng temen mau makan siang, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak pelayannya juga ramah. Disini memiliki tempat …",tempat,tempat,netral,0
334,"Mampir di sini bareng temen mau makan siang, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak pelayannya juga ramah. Disini memiliki tempat …",pelayanan,pelayanannya,positif,0
335,"Tempat ini bagus! Suasananya dingin dan sejuk tetapi stafnya juga sangat ramah, membuat pelanggan senang adalah prioritas utama mereka. Makanannya enak dan  untuk harganya 100% sepadan.",tempat,Tempat,positif,0
335,"Tempat ini bagus! Suasananya dingin dan sejuk tetapi stafnya juga sangat ramah, membuat pelanggan senang adalah prioritas utama mereka. Makanannya enak dan  untuk harganya 100% sepadan.",harga,harganya,positif,0
336,Tempatnya cukup nyaman dan femilis cocok bagi pengunjung yang datang bersama keluarga ataupun santai bersama rekan bisnis lainnya.,tempat,Tempatnya,positif,0
337,"Saya baru saja mengunjungi McDonald's Buah Batu di Bandung, dan pengalaman saya di sana sungguh luar biasa. Terletak di Jln. Buahbatu No 183-185, Bandung 40264 Indonesia, restoran ini menawarkan suasana tempat yang nyaman dan ramah bagi para …",tempat,tempat,positif,0
338,"Pelayanannya memuaskan, makanannya lezat. Pokok e Oke lah",pelayanan,Pelayanannya,positif,0
339,"Selain makanannya yg enak dan beragam, di McD pelayanan nya juga bagus bagus semua, nyaman pokoknya makan disana",pelayanan,pelayanan,positif,0
341,"Pelayanannya baik banget. Tempatnya nyaman juga bersih, enak buat ajak teman-teman kumpul. Parkirnya luas.  Harus mampir deh kesini dijamin ga akan nyesel.",pelayanan,Pelayanannya,positif,0
341,"Pelayanannya baik banget. Tempatnya nyaman juga bersih, enak buat ajak teman-teman kumpul. Parkirnya luas.  Harus mampir deh kesini dijamin ga akan nyesel.",tempat,Tempatnya,positif,0
342,"Pelayan di restoran ini sangat ramah, McD dengan ambience yang lumayan asik untuk kerja atau mengerjakan tugas. Restoran juga bersih dan memiliki tempat parkir yang cukup luas. Harga makanan di restoran ini cukup terjangkau mulai dari 8rb rupiah hingga 80rb rupiah untuk menu paketnya. sangat recomended untuk di kunjungi.",tempat,tempat,positif,0
342,"Pelayan di restoran ini sangat ramah, McD dengan ambience yang lumayan asik untuk kerja atau mengerjakan tugas. Restoran juga bersih dan memiliki tempat parkir yang cukup luas. Harga makanan di restoran ini cukup terjangkau mulai dari 8rb rupiah hingga 80rb rupiah untuk menu paketnya. sangat recomended untuk di kunjungi.",harga,Harga,positif,0
344,Makanan disini sangat cocok untuk dinikmati bersama teman dan keluarga bukan cuman makanan minuman juga ada berbagai farian.Rasanya lezat dan istimewa. Pelayanan yang baik dan suasananya juga mendukung. Harus mampir pokoknya!,rasa,Rasanya,positif,0
344,Makanan disini sangat cocok untuk dinikmati bersama teman dan keluarga bukan cuman makanan minuman juga ada berbagai farian.Rasanya lezat dan istimewa. Pelayanan yang baik dan suasananya juga mendukung. Harus mampir pokoknya!,pelayanan,Pelayanan,positif,0
345,suasanya nyaman sekali pun membawa anak anak tetap bisa makan dengan tenang.tempat nya bersih makanya enak pelayanan sangat baik,tempat,tempat,positif,0
345,suasanya nyaman sekali pun membawa anak anak tetap bisa makan dengan tenang.tempat nya bersih makanya enak pelayanan sangat baik,pelayanan,pelayanan,positif,0
347,"Lokasi strategis, menjadi tempat meeting Point yg bagus utk meeting, kumpul teman ataupun keluarga. Makanan gak usah diragukan lagi. Bisa juga layanan  takeaway",tempat,tempat,positif,0
348,"Mampir ke sini bareng keluarga kecil mau makan siang, tempat nya mantul banget  kedalamnya, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak …",tempat,tempat,positif,0
348,"Mampir ke sini bareng keluarga kecil mau makan siang, tempat nya mantul banget  kedalamnya, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak …",tempat,tempatnya,positif,0
348,"Mampir ke sini bareng keluarga kecil mau makan siang, tempat nya mantul banget  kedalamnya, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak …",pelayanan,pelayanannya,positif,0
349,"Tempat makan dengan metode pelayanan restoran cepat saji yang sudah banyak dikenal mahasiswa sekitar bandung. Dengan kursi yang banyak dan wifi yang cukup bisa dipakai untuk browsing tugas atau bersantai.
Sangat nyaman. Cukup kenyang",tempat,Tempat,netral,0
349,"Tempat makan dengan metode pelayanan restoran cepat saji yang sudah banyak dikenal mahasiswa sekitar bandung. Dengan kursi yang banyak dan wifi yang cukup bisa dipakai untuk browsing tugas atau bersantai.
Sangat nyaman. Cukup kenyang",pelayanan,pelayanan,positif,0
350,"Tempat enak untuk acara keluarga, pelayanan sangat ramah dan baik. Makanya enak semua.",tempat,Tempat,positif,0
350,"Tempat enak untuk acara keluarga, pelayanan sangat ramah dan baik. Makanya enak semua.",pelayanan,pelayanan,positif,0
351,"Tempat makan yang nyaman, pemesanan menu dilakukan secara self service jadi membuat pelanggan bisa memilih makanan sesuai keinginan sendiri. Dan jika ada pelanggan yang kesulitan memesan, para karyawannya dengan sigap membantu.",tempat,Tempat,positif,0
352,"Tempat Ini sangat Menarik Untuk dikunjungi, selain pelayanannya sangat baik dan ramah l, menu yang tersedia pun sangat enak untuk dinikmati🙏 …",tempat,Tempat,positif,0
352,"Tempat Ini sangat Menarik Untuk dikunjungi, selain pelayanannya sangat baik dan ramah l, menu yang tersedia pun sangat enak untuk dinikmati🙏 …",pelayanan,pelayanannya,positif,0
353,"Lebih mengutamakan kebersihan tempat dan pelayanannya paling The best
McDonald's buah batu selalu memberikan yang terbaik",tempat,tempat,positif,0
353,"Lebih mengutamakan kebersihan tempat dan pelayanannya paling The best
McDonald's buah batu selalu memberikan yang terbaik",pelayanan,pelayanannya,positif,0
354,"Resto cepat saji yang tidak pernah mengecewakan. Dari area parkir yg luas, kemudahan dan kecepatan pelayanan. Ditambah para pegawai yang super ramah dan cekatan, menjadikan McDonald's salahsatu pilihan saya kemanapun bepergian. Andalan menu …",pelayanan,pelayanan,positif,0
355,Makanan nya bener2 fresh.. tempatnya nyaman bersih dan pelayan2nya juga ramah2.. gk nyesel deh buat balik lg kesini.. secara tempatnya strategis bgt buat anak kuliahan apalagi bisa sambil nongkrong dan utk anak2 ada playground juga.,tempat,tempatnya,positif,1
356,"Tempat ini bagus! Suasananya dingin dan sejuk stafnya juga sangat ramah. dan mereka memprioritaskan kesenangan pelanggan. Makanannya sangat enak, dan harganya 100% sepadan.",tempat,Tempat,positif,0
356,"Tempat ini bagus! Suasananya dingin dan sejuk stafnya juga sangat ramah. dan mereka memprioritaskan kesenangan pelanggan. Makanannya sangat enak, dan harganya 100% sepadan.",harga,harganya,positif,0
357,"Restoran paling the best menurut aku.
Makanannya enak, pelayanannya ramah, pegawainya pada cepat saat layani pelanggan. …",pelayanan,pelayanannya,positif,0
359,"Tempat nya Bersih suasananya enak,,pelayanannya jg bagus ramah2 pokonya MCD tmpt yg Recommended bgt utk Makan bersama keluarga",tempat,Tempat,positif,0
359,"Tempat nya Bersih suasananya enak,,pelayanannya jg bagus ramah2 pokonya MCD tmpt yg Recommended bgt utk Makan bersama keluarga",pelayanan,pelayanannya,positif,0
360,"Pelayanan sangat baik memuaskan
Penyediaan makanan cepat enak
Tempat bersih dan nyaman",pelayanan,Pelayanan,positif,0
360,"Pelayanan sangat baik memuaskan
Penyediaan makanan cepat enak
Tempat bersih dan nyaman",tempat,Tempat,positif,0
362,Tempat nyaman dan ramah pelayanannya  sert nikmat dan lezat makanannya,tempat,Tempat,positif,0
362,Tempat nyaman dan ramah pelayanannya  sert nikmat dan lezat makanannya,pelayanan,pelayanannya,positif,0
363,"Bener2 rekomended banget, pelayanan ramah dan tidak menunggu kelaparan.  Benar2 memuaskan.  Waaaaa...... The best pokoknya",pelayanan,pelayanan,positif,0
364,"Makan ditempat, Anda akan menikmati Tempat yang bersih, Makanan siap tersaji cepat dan masih Hangat, Pelayanan cepat dan Meja selalu dibersihkan. Tempatnya nyaman ada Wifi GRATIS disana. Untuk tempat diskusi sambil istirahat sangatlah NYAMAN",tempat,ditempat,positif,0
364,"Makan ditempat, Anda akan menikmati Tempat yang bersih, Makanan siap tersaji cepat dan masih Hangat, Pelayanan cepat dan Meja selalu dibersihkan. Tempatnya nyaman ada Wifi GRATIS disana. Untuk tempat diskusi sambil istirahat sangatlah NYAMAN",tempat,tempat,positif,1
364,"Makan ditempat, Anda akan menikmati Tempat yang bersih, Makanan siap tersaji cepat dan masih Hangat, Pelayanan cepat dan Meja selalu dibersihkan. Tempatnya nyaman ada Wifi GRATIS disana. Untuk tempat diskusi sambil istirahat sangatlah NYAMAN",tempat,tempatnya,positif,0
364,"Makan ditempat, Anda akan menikmati Tempat yang bersih, Makanan siap tersaji cepat dan masih Hangat, Pelayanan cepat dan Meja selalu dibersihkan. Tempatnya nyaman ada Wifi GRATIS disana. Untuk tempat diskusi sambil istirahat sangatlah NYAMAN",tempat,Tempat,positif,0
364,"Makan ditempat, Anda akan menikmati Tempat yang bersih, Makanan siap tersaji cepat dan masih Hangat, Pelayanan cepat dan Meja selalu dibersihkan. Tempatnya nyaman ada Wifi GRATIS disana. Untuk tempat diskusi sambil istirahat sangatlah NYAMAN",pelayanan,Pelayanan,positif,0
365,Makanan di restoran ini sangatlah bersih dan higienis jadi nggak usah khawatir lagi kalo mau makan di reatoran ini dan pastinya makan nanya enak dan lezat pelayananya pun juga cukup memuaskan suasana nya juga enakk banget pokok nya paket komplit deh.,pelayanan,pelayananya,positif,0
366,"Tempat nya asik dan nyaman, comfortable deh klw buat nongkrong bersama teman dan keluarga , Pelayanan nya juga ramah, Sukaaaa banget sama menu2nya di McD, comfort food buat kami . Apalagi disini parkirnya lumayan luas.",tempat,Tempat,positif,0
366,"Tempat nya asik dan nyaman, comfortable deh klw buat nongkrong bersama teman dan keluarga , Pelayanan nya juga ramah, Sukaaaa banget sama menu2nya di McD, comfort food buat kami . Apalagi disini parkirnya lumayan luas.",pelayanan,Pelayanan,positif,0
368,"Suka banget sama pelayanannya. Makanannya juga enak, dan cepat saji. Tempatnya bagus, bersih dan enak kalau lama2 duduk di sana. Semoga makin sukses usahanya. Aamiin",pelayanan,pelayanannya,positif,0
368,"Suka banget sama pelayanannya. Makanannya juga enak, dan cepat saji. Tempatnya bagus, bersih dan enak kalau lama2 duduk di sana. Semoga makin sukses usahanya. Aamiin",tempat,Tempatnya,positif,0
369,"Tempat strategis, dan pelayanan bagus klo makanan sih sudah pasti enak yah, orderan tidak salah maupun ada yg kurang jadi layak bintang lima.",tempat,Tempat,positif,0
369,"Tempat strategis, dan pelayanan bagus klo makanan sih sudah pasti enak yah, orderan tidak salah maupun ada yg kurang jadi layak bintang lima.",pelayanan,pelayanan,positif,0
370,"fasilitas yang disediakan lengkap, toilet bersih, wifi juga lancar bisa digunakan untuk mengerjakan tugas sekolah. kualitas makanan terjaga&disajikan dalam kondisi hangat. pelayanannya ramah.",pelayanan,pelayanannya,positif,0
371,"Hallo, tempatnya ramah anak, makanannya enak, pelayanannya sangat ramah dan cepat. Suasananya hangat, cocok sekali menjadi tujuan sarapan, makan siang maupun malam.",tempat,tempatnya,positif,0
371,"Hallo, tempatnya ramah anak, makanannya enak, pelayanannya sangat ramah dan cepat. Suasananya hangat, cocok sekali menjadi tujuan sarapan, makan siang maupun malam.",pelayanan,pelayanannya,positif,0
373,Tempat nya nyaman bersih pelayanan baik makanan nya enak enak,tempat,Tempat,positif,0
373,Tempat nya nyaman bersih pelayanan baik makanan nya enak enak,pelayanan,pelayanan,positif,0
374,"alur pemesanan secara teratur sehingga tidak menimbulkan antrian yang panjang. harga yang friendly. tempat yang dingin, meja yang tertata dan tidak ada sampah berserakan. senang rasanya saya berkunjung untuk makan di mcd",harga,harga,positif,0
374,"alur pemesanan secara teratur sehingga tidak menimbulkan antrian yang panjang. harga yang friendly. tempat yang dingin, meja yang tertata dan tidak ada sampah berserakan. senang rasanya saya berkunjung untuk makan di mcd",tempat,tempat,positif,0
374,"alur pemesanan secara teratur sehingga tidak menimbulkan antrian yang panjang. harga yang friendly. tempat yang dingin, meja yang tertata dan tidak ada sampah berserakan. senang rasanya saya berkunjung untuk makan di mcd",rasa,rasanya,positif,0
375,"Ini adalah restoran favorit anak saya. Dan Makanan favoritnya adalah burger. Di sini pelayananya bagus dan juga cepat, bahagia, dan sopan. Tidak sabar untuk kembali dan tidak akan ragu untuk merekomendasikan kepada siapa pun yang mencari tempat makan di Bandung yang nyaman dengan si kecil.",pelayanan,pelayananya,positif,0
375,"Ini adalah restoran favorit anak saya. Dan Makanan favoritnya adalah burger. Di sini pelayananya bagus dan juga cepat, bahagia, dan sopan. Tidak sabar untuk kembali dan tidak akan ragu untuk merekomendasikan kepada siapa pun yang mencari tempat makan di Bandung yang nyaman dengan si kecil.",tempat,tempat,positif,0
376,"Tempat makan, istirahat, santai dan rehat bersama keluarga yang nyaman dan bersih dengan banyak varian dan pilihan makanan serta minuman yang disajikan dengan pelayanannya cepat dan memiliki tempat parkir dan halaman yang asri, luas dan bersih. Kesesuaian dengan orang dewasa :Suka es krim.",tempat,Tempat,positif,1
376,"Tempat makan, istirahat, santai dan rehat bersama keluarga yang nyaman dan bersih dengan banyak varian dan pilihan makanan serta minuman yang disajikan dengan pelayanannya cepat dan memiliki tempat parkir dan halaman yang asri, luas dan bersih. Kesesuaian dengan orang dewasa :Suka es krim.",pelayanan,pelayanannya,positif,0
377,Tempat nya strategis. Maknan nya sudah pasti cocok di lidah orang indomesia.. kebetulan deket banget dari rumah saya …,tempat,Tempat,positif,0
378,"Tempat escape terbaik setelah kuliah! Makanannya enak, suasananya bersih juga rapi, pelayanannya oke, colokannya banyak jadi bisa ngerjain tugas bareng temen juga di sini! Recommended buat nongkrong walaupun 😎 …",tempat,Tempat,positif,0
378,"Tempat escape terbaik setelah kuliah! Makanannya enak, suasananya bersih juga rapi, pelayanannya oke, colokannya banyak jadi bisa ngerjain tugas bareng temen juga di sini! Recommended buat nongkrong walaupun 😎 …",pelayanan,pelayanannya,positif,0
379,"kebetulan mcd di sini buka 24 jam jadi kalo mau sambil ngerjain tugas atau sekadar gabut bisa kesini sekitar jam 9 ke atas karena pengunjungnya udah mulai sepi. Soal rasa makanan gausa ditanya deh, udah pada tau juga kan makanan mcd kayak gimana :). Pelayanan oke, tempatnya bersih.",rasa,rasa,positif,0
379,"kebetulan mcd di sini buka 24 jam jadi kalo mau sambil ngerjain tugas atau sekadar gabut bisa kesini sekitar jam 9 ke atas karena pengunjungnya udah mulai sepi. Soal rasa makanan gausa ditanya deh, udah pada tau juga kan makanan mcd kayak gimana :). Pelayanan oke, tempatnya bersih.",pelayanan,Pelayanan,positif,0
379,"kebetulan mcd di sini buka 24 jam jadi kalo mau sambil ngerjain tugas atau sekadar gabut bisa kesini sekitar jam 9 ke atas karena pengunjungnya udah mulai sepi. Soal rasa makanan gausa ditanya deh, udah pada tau juga kan makanan mcd kayak gimana :). Pelayanan oke, tempatnya bersih.",tempat,tempatnya,positif,0
380,Mari teman sobat dan kerabat..makananya sungguh lezat...disamping pelayanannya juga sungguh ramah membuat kita betah dengan suasana tempat yang nyaman..,pelayanan,pelayanannya,positif,0
380,Mari teman sobat dan kerabat..makananya sungguh lezat...disamping pelayanannya juga sungguh ramah membuat kita betah dengan suasana tempat yang nyaman..,tempat,tempat,positif,0
381,"Tempatnya bagus, bersih, nyaman, pelayanan yang sangat ramah.",tempat,Tempatnya,positif,0
381,"Tempatnya bagus, bersih, nyaman, pelayanan yang sangat ramah.",pelayanan,pelayanan,positif,0
382,tempat makan yang bersih dan nyaman serta memiliki lahan parkir yang luas. Makanan yang enak disertai pelayanan yang ramah dan cepat. Cocok juga untuk anak-anak karena disediakan playground sebagai tempat bermain.,tempat,tempat,positif,1
382,tempat makan yang bersih dan nyaman serta memiliki lahan parkir yang luas. Makanan yang enak disertai pelayanan yang ramah dan cepat. Cocok juga untuk anak-anak karena disediakan playground sebagai tempat bermain.,pelayanan,pelayanan,positif,0
382,tempat makan yang bersih dan nyaman serta memiliki lahan parkir yang luas. Makanan yang enak disertai pelayanan yang ramah dan cepat. Cocok juga untuk anak-anak karena disediakan playground sebagai tempat bermain.,tempat,tempat,positif,1
383,"Tempatnya enak nyaman , pelayanannya jg ramah ..
Recoment deh pokonya 🤩 …",tempat,Tempatnya,positif,0
383,"Tempatnya enak nyaman , pelayanannya jg ramah ..
Recoment deh pokonya 🤩 …",pelayanan,pelayanannya,positif,0
385,tempatnya sangat nyaman makanannya enak serta pelayanannya baik dan ramah,tempat,tempatnya,positif,0
385,tempatnya sangat nyaman makanannya enak serta pelayanannya baik dan ramah,pelayanan,pelayanannya,positif,0
386,"pelayanan sangat baik, dan rasa makanan sangat pas, saya sangat tertarik untuk datang kembali",pelayanan,pelayanan,positif,0
386,"pelayanan sangat baik, dan rasa makanan sangat pas, saya sangat tertarik untuk datang kembali",rasa,rasa,positif,0
387,"Tempat nongkrong paling nyaman, lokasi ditengah kota banyak anak muda kumpul disini. Menu makanan yg enak dan cocok untuk ngobrol bareng temen,
Fasilitas nyaman dan lahan parkirnya luas.. Ayo cobain datang kemari.",tempat,Tempat,positif,0
388,Fasilitasnya sangat bagus.pelayanan Disni sangat ramah terhadap costumer dan untuk makanannya sangat enak.saya sudah sering makan di restoran ini dan menurut saya sangat bagus.yang belum mencoba makan di restoran ini ayo datang dan kamu wajib mencobanya dijamin kamu bakalan ketagihan.,pelayanan,pelayanan,positif,0
389,"Makanan enak, tempatnya bersih dan rapi , cara penyajian sangat ramah",tempat,tempatnya,positif,0
390,"MCD sini tempat parkirnya luas, ada parkir motor yg luas juga. Terdapat Drive Thru. …",tempat,tempat,positif,0
391,"Tempat ini sungguh cocok banget buat pertemuan / reuni, selain makanya yg enak enak, harga terjangkau, pelayanan sangat bagus dan juga dalam lingkungan suasana yg begitu indah dan sejuk, cocok lah pokoknya",tempat,Tempat,positif,0
391,"Tempat ini sungguh cocok banget buat pertemuan / reuni, selain makanya yg enak enak, harga terjangkau, pelayanan sangat bagus dan juga dalam lingkungan suasana yg begitu indah dan sejuk, cocok lah pokoknya",harga,harga,positif,0
391,"Tempat ini sungguh cocok banget buat pertemuan / reuni, selain makanya yg enak enak, harga terjangkau, pelayanan sangat bagus dan juga dalam lingkungan suasana yg begitu indah dan sejuk, cocok lah pokoknya",pelayanan,pelayanan,positif,0
392,"Makan disini waktu k bandung temani ponakan yg mau tes PTN. Pelayanan nya ramah, suasananya nyaman sekali. Sekali coba, jadi ketagihan 🥰 ice cream nya meleleh di mulut, enak nya pecah 🤩💃🏻 …",pelayanan,Pelayanan,positif,0
393,"MC Donald terbaik buat pribadi saya
*Pesenan cepat gak pake ribet
*Pelayanannya cepat …",pelayanan,Pelayanannya,positif,0
394,"Suka banget dengan kriuk ayam McD terkhusus bagian kulitnya, suasana nyaman dan bagus untuk ditempati bersantai, diskusi atau kerjakan tugas bareng teman. …",tempat,ditempati,positif,0
395,"Tempat bersih dan nyaman. Enak buat nugas dan santai sambil ngezoom. Selain itu pelayanannya ramah banget. The best deh.. Buat yang lagi di bandung khususnya di buah batu, coba deh mampir ke sini. Dijamin bakal kepengen balik lagi.",tempat,Tempat,positif,0
395,"Tempat bersih dan nyaman. Enak buat nugas dan santai sambil ngezoom. Selain itu pelayanannya ramah banget. The best deh.. Buat yang lagi di bandung khususnya di buah batu, coba deh mampir ke sini. Dijamin bakal kepengen balik lagi.",pelayanan,pelayanannya,positif,0
397,"Sangat menyenangkan makanannya berkelas sultan tempat nya bersih rapi.pelayanan baik Ramah2 ,cakatan
Makan sama keluarga memuaskan 👍 …",tempat,tempat,positif,0
397,"Sangat menyenangkan makanannya berkelas sultan tempat nya bersih rapi.pelayanan baik Ramah2 ,cakatan
Makan sama keluarga memuaskan 👍 …",pelayanan,pelayanan,positif,0
398,Mcd tempat yang sangat cocok buat semua kalangan sih apalagi anak muda yang pengen nongkrong plus dapat kenyangnya lagi😁😁😁 …,tempat,tempat,positif,0
399,"Untuk Rasa....jelas mantap....
Perlayanannya cepat...sangat recommended....dua jempol untuk mcdonald's",rasa,Rasa,positif,0
400,"Makannya jangan ditanya lagi, udah pasti enak!
Tempatnya bersih, nyaman, dan harganya terjangkau. …",tempat,Tempatnya,positif,0
400,"Makannya jangan ditanya lagi, udah pasti enak!
Tempatnya bersih, nyaman, dan harganya terjangkau. …",harga,harganya,positif,0
401,"Saya pernah makan sekali, untuk semuanya saya pikir cukup bagus, kalaupun ada hal yg kurang hanya pada pelayanan karyawan yang kurang solutif, tapi itu masih bisa diterima sabagai kewajaran. …",pelayanan,pelayanan,negatif,0
402,Pelayanan nya sangat memuaskan penyajian makanan cepat dan suasana tempat makan nyaman sekali.,pelayanan,Pelayanan,positif,0
402,Pelayanan nya sangat memuaskan penyajian makanan cepat dan suasana tempat makan nyaman sekali.,tempat,tempat,positif,0
403,"Tempatnya bagus, parkirnya nyaman, ada tempat permainan anak, bisa drive thru juga dan buka selama 24 jam.",tempat,Tempatnya,positif,0
403,"Tempatnya bagus, parkirnya nyaman, ada tempat permainan anak, bisa drive thru juga dan buka selama 24 jam.",tempat,tempat,positif,0
405,"restaurant makanan cepat saji yang sangat bagus buat masyarakat , semua bisa menikmati restaurant mcDOnalds ini harga nya terjangkau dan ramah , kualitas restauran bintang 5 bersih dan nyaman tempat yang strategis , pelayanannya bagus dan ramah , sangat nyaman saat makan disini.",harga,harga,positif,0
405,"restaurant makanan cepat saji yang sangat bagus buat masyarakat , semua bisa menikmati restaurant mcDOnalds ini harga nya terjangkau dan ramah , kualitas restauran bintang 5 bersih dan nyaman tempat yang strategis , pelayanannya bagus dan ramah , sangat nyaman saat makan disini.",tempat,tempat,positif,0
405,"restaurant makanan cepat saji yang sangat bagus buat masyarakat , semua bisa menikmati restaurant mcDOnalds ini harga nya terjangkau dan ramah , kualitas restauran bintang 5 bersih dan nyaman tempat yang strategis , pelayanannya bagus dan ramah , sangat nyaman saat makan disini.",pelayanan,pelayanan,positif,0
406,"Pengalaman pertama saat ada kegiatan di Bandung, ketika waktu menunjukkan jam makan malam, singgah di McDonald""s Bandung Buah Batu, disaming makanannya enak dan higiene pelayannya juga ramah yang menjadikan tempat favorit kalau liburan ke Bandung.",tempat,tempat,positif,0
407,"Tempat makan yg enak buat bareng keluarga atau teman2 dengan makanan yg jg enak pelayanan yg bagus ,saya rasa ini akan menjadi tempat favorit untuk kalian 😊 …",pelayanan,pelayanan,positif,0
