Review,aspek,sentimen
"tempat makan siap saji yg selalu jadi andalan , pesanan yg lebih praktis karena pakai screen digital , fasilitas yg semakin lengkap , pelayanan yg ramah , …",pelayanan,positif
"MC donals makanan enak serta pelayanan yg ramah, receptionist yang cantik cantik",pelayanan,positif
"Menunya enak, tempat nyaman dan bersih. Pelayanan ramah dan mengesankan. Lanjutkan 👍👍 …",tempat,positif
"Menunya enak, tempat nyaman dan bersih. Pelayanan ramah dan mengesankan. Lanjutkan 👍👍 …",pelayanan,positif
"Makanan nya enak,pelayanan nya baik tempat nya juga nyaman dan bersih bener bener rekomen bangettt",pelayanan,positif
"Makanan nya enak,pelayanan nya baik tempat nya juga nyaman dan bersih bener bener rekomen bangettt",tempat,positif
"Suka banget sama mcdonald ini, pelayanannya enak ,ramah, makanannya pun bisa puas menikmatinya, suasananya nyaman,, popoknya is the best deh",pelayanan,positif
The best la tempat makan Terenak dan ternyaman pokoknya mah rating 5 harus,tempat,positif
Tempat nya nyaman banget makana nya juga enak² harga nya juga hemat pokok nya rekomendasi banget buat kalian,tempat,positif
Tempat nya nyaman banget makana nya juga enak² harga nya juga hemat pokok nya rekomendasi banget buat kalian,harga,positif
"Fasilitas lengkap, tempat nyaman makanan nya juga bersih bersih mantep pokoknya dan nggak lupa stafnya juga baik baik good joob😍 …",tempat,positif
"Pelayanan ramah..
Makanan dan semua yang di jual sungguh enak tiada duanya..
Reqomen deh pokoknya..",pelayanan,positif
"Pelayanan nya sangat ramah dan cepat,, untuk makanan nya masih angat angat next bakal langganan kesini lagi",pelayanan,positif
Tempatnya sangat nyaman dan pelayanannya ramah. Rekomendasi tempat makan yang tepat,tempat,positif
Tempatnya sangat nyaman dan pelayanannya ramah. Rekomendasi tempat makan yang tepat,tempat,positif
Tempatnya sangat nyaman dan pelayanannya ramah. Rekomendasi tempat makan yang tepat,pelayanan,positif
"Tempat yang sangat nyaman.
Pelayanan yang cepat serta menu makanan yang sudah tidak diragukan lagi",tempat,positif
"Tempat yang sangat nyaman.
Pelayanan yang cepat serta menu makanan yang sudah tidak diragukan lagi",pelayanan,positif
Tempat ini Cocok banget buat yg gak cuma makan siap saji tapi juga cari kenyamanan tempat. Desainnya rapi dan bersih  banget. Lahan parkirnya juga luas cocok buat santai saat traveling. . Soal pelayanan nya saya suak ramah sekali. Ada area …,tempat,positif
Tempat ini Cocok banget buat yg gak cuma makan siap saji tapi juga cari kenyamanan tempat. Desainnya rapi dan bersih  banget. Lahan parkirnya juga luas cocok buat santai saat traveling. . Soal pelayanan nya saya suak ramah sekali. Ada area …,pelayanan,positif
Seneng banget bisa kerja waloupun cuma 1 hari di mcd karna evant ... semua karyawan mcd baik .ramah . Sopan semuanyaaa.  Tempat nya juga enakk buat santay2 and nongky sama temen. Pacar. Keluarga.  Dan kalow punya pelakor tingall bawa hahaaha.,tempat,positif
"Tempatnya ramah keluarga, kita bisa memarkir sepeda atau mobil kita dengan mudah. …",tempat,positif
"Recommendat banget gais tempat ini, pelayanannya cepat, suasana yg mendukung, sajiannya sangat memuaskan, saya sangat suka dengan kentang gorengnya.",tempat,positif
"Recommendat banget gais tempat ini, pelayanannya cepat, suasana yg mendukung, sajiannya sangat memuaskan, saya sangat suka dengan kentang gorengnya.",pelayanan,positif
Wau wau ini beneran di jamin makyus rasanya mantap pelayanan ramah banget suasana nya betah jadi  pingin pulang harganya merakyat jangan ingaku keren klo blum nyobain,rasa,positif
Wau wau ini beneran di jamin makyus rasanya mantap pelayanan ramah banget suasana nya betah jadi  pingin pulang harganya merakyat jangan ingaku keren klo blum nyobain,pelayanan,positif
Wau wau ini beneran di jamin makyus rasanya mantap pelayanan ramah banget suasana nya betah jadi  pingin pulang harganya merakyat jangan ingaku keren klo blum nyobain,harga,positif
"Salah satu restoran terbaik, Fasilitas sangat lengkap, Suasana dan kenyamanan ++ mening...
Pelayanan memuaskan dan cepat..gak ribet! …",pelayanan,positif
"Tempat luas dan bersih, pelayanan juga oke, makanan sudah pasti enak 👍🏻👍🏻👍🏻 …",tempat,positif
"Tempat luas dan bersih, pelayanan juga oke, makanan sudah pasti enak 👍🏻👍🏻👍🏻 …",pelayanan,positif
Tempatnya nyaman Dan mudah dijangkau,tempat,positif
"Semua rasa mcd dimana pun pasti enak, cuma di mcd bubat pelayanan kurang ramah dibanding mcd lain. Kebersihannya juga bad meja2 ga gercep diberesin. Apalg si mas yg agak pendek namecardnya dri huruf A, orng nanya jwbnya judes bener. Dia …",rasa,positif
"Semua rasa mcd dimana pun pasti enak, cuma di mcd bubat pelayanan kurang ramah dibanding mcd lain. Kebersihannya juga bad meja2 ga gercep diberesin. Apalg si mas yg agak pendek namecardnya dri huruf A, orng nanya jwbnya judes bener. Dia …",pelayanan,positif
"Tempat yg nyaman, makanannya eenka2 semuaa",tempat,positif
"Tempatnya bersih dan pelayananannya sangat ramah & banyak wsiatawan yg berkunjung serta anak2 muda nongki,Favorite anak2 saya ya MCD",tempat,positif
"Tempatnya bersih dan pelayananannya sangat ramah & banyak wsiatawan yg berkunjung serta anak2 muda nongki,Favorite anak2 saya ya MCD",pelayanan,positif
Pelayanan nya sangat baik . makanan.a enak sekali . suasana.a enak di pakai nongkrong bareng keluarga/teman,pelayanan,positif
Nyaman banget tempatnya cocok untuk hunting bersama keluarga tercinta ..penyajian makanan jg ok .. pelayanan ramah ...,tempat,positif
Nyaman banget tempatnya cocok untuk hunting bersama keluarga tercinta ..penyajian makanan jg ok .. pelayanan ramah ...,pelayanan,positif
Dengan pelayanannya yang ramah serta makanan yang enak dan bervariasi membuat nyaman dan gak bosen2 untuk balik lagi.ditambah suasana yang bersih menambah nyaman suasana serat tempat parkir  yamg luas.. recommended banget,pelayanan,positif
Dengan pelayanannya yang ramah serta makanan yang enak dan bervariasi membuat nyaman dan gak bosen2 untuk balik lagi.ditambah suasana yang bersih menambah nyaman suasana serat tempat parkir  yamg luas.. recommended banget,tempat,positif
"Kita datangnya pas hari minggu, jam makan siang..ramee banget. Ada 2 lantai, tapi udah penuh semua. Jadi suasananya kurang tenang, terlalu banyak orang. Ada tempat bermain anak di lantai 2. Bisa drive thru. Parkiran mobil d depan cuma ada 4 tempat.",tempat,positif
"Kita datangnya pas hari minggu, jam makan siang..ramee banget. Ada 2 lantai, tapi udah penuh semua. Jadi suasananya kurang tenang, terlalu banyak orang. Ada tempat bermain anak di lantai 2. Bisa drive thru. Parkiran mobil d depan cuma ada 4 tempat.",tempat,netral
Salah satu restaurant cepat saji yang pelayanannya sangat ramah dan cepat .  Dengan suasana yang nyaman juga  banyak jenis varian makanannya. …,pelayanan,positif
"Tak perlu diragukan lagi dari rasa, pelayanan dan kebersihan tempatnya. Semuanya dijamin oke.",rasa,positif
"Tak perlu diragukan lagi dari rasa, pelayanan dan kebersihan tempatnya. Semuanya dijamin oke.",pelayanan,positif
"Tak perlu diragukan lagi dari rasa, pelayanan dan kebersihan tempatnya. Semuanya dijamin oke.",tempat,positif
"Tempatnya nyaman
makanannya enakkk
pelayanannya juga cepatt",tempat,positif
"Tempatnya nyaman
makanannya enakkk
pelayanannya juga cepatt",pelayanan,positif
"Baru pertama kali pelayanan ""Drive thru"" disuruh menunggu +- 30 menit di parkiran,  menu ""Double cheese burger"" dibuat fresh dari daging sapi yang baru disembelih, roti yang baru dibuat, hingga harus menunggu 30 menit, itu pun harus di ""ditagih"" ke meja pemesanan di dalam, tolong diperbaiki lagi kualitas SDM nya",pelayanan,negatif
"Tempat nyaman serta pelayanan yang baik, tak terkecuali makanannya, pengen datang setiap hari 😊 …",tempat,positif
"Tempat nyaman serta pelayanan yang baik, tak terkecuali makanannya, pengen datang setiap hari 😊 …",pelayanan,positif
Tempat yang sangat nyaman buat hangout dengan teman maupun keluarga..Tempat yang bersih dan pelayanannya ramah2 dan cepat. Makanannya sesuai pesanan dan kondisi masih panas. Keep the good work.,tempat,positif
Tempat yang sangat nyaman buat hangout dengan teman maupun keluarga..Tempat yang bersih dan pelayanannya ramah2 dan cepat. Makanannya sesuai pesanan dan kondisi masih panas. Keep the good work.,pelayanan,positif
Tempat yang cocok buat makan bareng keluarga ada tempat bermain anak pula,tempat,positif
"Mc'D selallu terbaik, menu favorit dan tempat yg asik 🫠 …",tempat,positif
"tempatnya bersih banget, makanannya juga recomended buat makan bersama teman ataupun keluarga",tempat,positif
"enak sekali tempat ny buat saya bisa bikin vidio motor saya di parkiran
mantul dah pokoknya",tempat,positif
Saya sangat nyaman mkn ditempat dan pelayanan ramah2.,tempat,positif
Saya sangat nyaman mkn ditempat dan pelayanan ramah2.,pelayanan,positif
"Makanannya enak, tempatnya juga bersih sangat nyaman makan di sini. Tempat favorit sangat recommended 👍 …",tempat,positif
"Makanannya enak, tempatnya juga bersih sangat nyaman makan di sini. Tempat favorit sangat recommended 👍 …",tempat,positif
McD yang favorite sih kalo ke Buah Batu Bandung..iya da cuma satu satunya di Bubat..hehe..all crew nya ramah dan helpful. Pelayanannya fast respon kalo di mintain bantuan. Clear up kalo ada sampah di meja juga cepet.  Keep up the good work yaa !,pelayanan,positif
"Tempatnya sangat bagus, indah bersih, pelayanannya ramah, tidak kasar dan sangat lembut penuturan kata-katanya..makananya enak besrih juga suasananya yang damai menjadi tempat istirhat terfavorit sih ini",tempat,positif
"Tempatnya sangat bagus, indah bersih, pelayanannya ramah, tidak kasar dan sangat lembut penuturan kata-katanya..makananya enak besrih juga suasananya yang damai menjadi tempat istirhat terfavorit sih ini",tempat,positif
"Tempatnya sangat bagus, indah bersih, pelayanannya ramah, tidak kasar dan sangat lembut penuturan kata-katanya..makananya enak besrih juga suasananya yang damai menjadi tempat istirhat terfavorit sih ini",pelayanan,positif
"Tempatnya nyaman dan bersih, pelayanannya juga bagus. Rekomendasi buat yang mau cari tempat makan nyaman dan enak",tempat,positif
"Tempatnya nyaman dan bersih, pelayanannya juga bagus. Rekomendasi buat yang mau cari tempat makan nyaman dan enak",tempat,positif
"Tempatnya nyaman dan bersih, pelayanannya juga bagus. Rekomendasi buat yang mau cari tempat makan nyaman dan enak",pelayanan,positif
"enak buat tempat nongkrong, buka 24 jam, lokasi nya strategis, di sediain infocus juga kalo ada nobar sepak bola",tempat,positif
"pelayanan yang di berikan sangat baik, saya selalu suka semua makanan yang ada disini",pelayanan,positif
Saya sangat suka sekali. Pelayanan sangat  memuaskan. Saya pasti akan berkunjung lagi,pelayanan,positif
The best deh enak bua makan bareng temen² plus keluarga juga sama rasa ayamnya juga lebih enak gak rugi deh,rasa,positif
"Layanan bagus banget
Tempat nyaman
Makanan sangat enak bintang lima harysnya",tempat,positif
"Makan bersama teman dan minum kopi di tempat ini,sangat menyenangkan 😁👍👍🙏 …",tempat,positif
"Tempat nya nyaman untuk makan bersama keluarga.
Layanan nya ramah dan memuaskan.
Suasana nya ok. Sangat baik",tempat,positif
"Tempat nya Bagus bersih, dan makanan nya juga enak Sangat rekomendasi",tempat,positif
"Pas untuk jam makan siang, terdapat tempat playground untuk anak dan parkirnya luas",tempat,positif
"Tempatnya strategis, makanan enak. Pelayanan cepat, pokoknya maknyuuus deh. Kapan2 nanti pgn mampir lagi sambil nongki sama temen2",tempat,positif
"Tempatnya strategis, makanan enak. Pelayanan cepat, pokoknya maknyuuus deh. Kapan2 nanti pgn mampir lagi sambil nongki sama temen2",pelayanan,positif
"Makanan sangat enak dan pelayanan sangat memuaskan, cocok untuk mengisi hari libur anda dengan berwisata kuliner disini",pelayanan,positif
Tempat bagus dan nyaman apalagi makanan nya enak enak the best lah pokok nya,tempat,positif
"Tempat nyaman, makanan oke, pelayanan ramah. The best 👍 …",tempat,positif
"Tempak nyaman, makanan oke, pelayanan ramah. The best 👍 …",pelayanan,positif
"Pelayanan memuaskan dan cepat..gak ribet!
Makanannya cukup enak dan banyak jenis makanan yg bisa untuk menjadi menu favorit keluarga.",pelayanan,positif
"Lokasi strategis gampang di temukan.
Pelayanan 24 jam bisa buat hang out atau rapat kecil.
Ada mushola kecil yang cukup nyaman. …",pelayanan,positif
"Enak banget ayam dadanya mmmmuah yummie, pelayanannya juga ramah, dan yang pasti serasa mau ketemu someone special",pelayanan,positif
"tempat bagus, bersih, dan nyaman. Pelayanan baik dan ramah sekali. lokasi sangat strategis. Makanan sangat lezat",tempat,positif
"tempat bagus, bersih, dan nyaman. Pelayanan baik dan ramah sekali. lokasi sangat strategis. Makanan sangat lezat",pelayanan,positif
"Makanannya enak, pelayanannya juga ramah"". The best pokonya",pelayanan,positif
Makanan disini sangat cocok untuk dinikmati bersama teman. Rasanya lezat dan istimewa membuat ingin mencoba semua jenis makanan dan minuman yang ditawarkan. Pelayanan yang baik dan suasananya juga mendukung. Harus mampir pokoknya! Sangat memuaskan,rasa,positif
Makanan disini sangat cocok untuk dinikmati bersama teman. Rasanya lezat dan istimewa membuat ingin mencoba semua jenis makanan dan minuman yang ditawarkan. Pelayanan yang baik dan suasananya juga mendukung. Harus mampir pokoknya! Sangat memuaskan,pelayanan,positif
"Tempat makannya bersih dan nyaman, pelayanan nya sangat ramah dan cepat memberikan rekomendasi terkait menu popular 😍😍 …",tempat,positif
"Tempat makannya bersih dan nyaman, pelayanan nya sangat ramah dan cepat memberikan rekomendasi terkait menu popular 😍😍 …",pelayanan,positif
"Tempat yg nyaman buat makan sama keluarga/ buat sekedar nongkrong bersama teman, bersih dan ramah pelayanan.a",tempat,positif
"Tempat yg nyaman buat makan sama keluarga/ buat sekedar nongkrong bersama teman, bersih dan ramah pelayanan.a",pelayanan,positif
"Lokasi tempatnya strategis.....pegawainya cekatan,sayang waktu kesini kasirnya cuman 1 yg jaga...jadi agak lama ordernya....",tempat,positif
"Ne tempat recommended banget loe....makanan nya juga enak dan pas di lidah..pelayanan nya pun sanhat bagus ..suasana nya yg adem tenang..bisa juga di pesan biat hang out untuk kelurga,acara kantor dll..yuks buruan",tempat,positif
"Ne tempat recommended banget loe....makanan nya juga enak dan pas di lidah..pelayanan nya pun sanhat bagus ..suasana nya yg adem tenang..bisa juga di pesan biat hang out untuk kelurga,acara kantor dll..yuks buruan",pelayanan,positif
"Tempat makan yang cocok untuk bersama teman"".. pelayanan bagus..",tempat,positif
"Tempat makan yang cocok untuk bersama teman"".. pelayanan bagus..",pelayanan,positif
"Tempatnya nyaman banget, parkirnya cukup luas. Untuk rasa, McD emang gak pernah bohong. Terutama burgernya. Pelayanannya juga ramah, standar McD",tempat,positif
"Tempatnya nyaman banget, parkirnya cukup luas. Untuk rasa, McD emang gak pernah bohong. Terutama burgernya. Pelayanannya juga ramah, standar McD",rasa,positif
"Tempatnya nyaman banget, parkirnya cukup luas. Untuk rasa, McD emang gak pernah bohong. Terutama burgernya. Pelayanannya juga ramah, standar McD",pelayanan,positif
"enak buat tempat makan makan bareng temen sekolah atau bareng keluarga, saya sering kesana walau cuma beli ice cream nya pas pulang sekolah",tempat,positif
"tempat yg sangat nyaman,makan disana sangat memuaskan dan memiliki pelayanan yang sanagat ramah,sangant cocok untuk keluarga, untuk anda lagi PDKT sama pasangan nya, tempat yang sangat bersih dan sejuk.pokok ny membuat anda aman dan nyaman di sana",tempat,positif
"tempat yg sangat nyaman,makan disana sangat memuaskan dan memiliki pelayanan yang sanagat ramah,sangant cocok untuk keluarga, untuk anda lagi PDKT sama pasangan nya, tempat yang sangat bersih dan sejuk.pokok ny membuat anda aman dan nyaman di sana",pelayanan,positif
"Lokasinya strategis,bersih dan pelayanan mantap,kalo ke bdg pasti mampir ke McD Buahbatu ini... Selain banyak pilihan menu tempatnya enak untuk nongkrong bareng temen/keluarga..",pelayanan,positif
"Lokasinya strategis,bersih dan pelayanan mantap,kalo ke bdg pasti mampir ke McD Buahbatu ini... Selain banyak pilihan menu tempatnya enak untuk nongkrong bareng temen/keluarga..",tempat,positif
"Tempat nya nyaman, bersih, segar.
Pelayanan nya cakep, ramah.
Parkir luas pokok nya mantabh.
Rekomended",tempat,positif
"Tempat nya nyaman, bersih, segar.
Pelayanan nya cakep, ramah.
Parkir luas pokok nya mantabh.
Rekomended",pelayanan,positif
"Makan disini waktu malam Minggu. Saya lihat sedang rame sekali di depan counter. Saya kira bakal lama nunggunya, tapi tenyata pelayanan bener"" cepat. Umumnya kalo rame pasti kebersihan kamar mandi kurang, tapi ini bersih banget. Bagian PA …",pelayanan,positif
"Tempat nya nyaman..mkn nya juga enak"" yg q suka mkn nya di McD nuggets dengan saos barbeque, bs pilih mau MIDI atau Maxi. Q suka yang MIDI, isinya pas bgt ada 4 klo Maxi isinya banyak ada 9. Q juga bs ganti menu, ada menu yang pas bgt GK …",tempat,positif
Tempat ny strategis mudah dijangkau dn tempatnya nyaman parkiran luas cocok banget buat mampir disaat perjalanan jauh makanan ny terjakau kantong,tempat,positif
Tempat ny strategis mudah dijangkau dn tempatnya nyaman parkiran luas cocok banget buat mampir disaat perjalanan jauh makanan ny terjakau kantong,tempat,positif
"""Mixed Berries Pie"".
Pie crunchy seperti biasanya dengan filling mix berries jam, rasanya manis, asem, segar. Mirip rasa yoghurt mix berries sih.
Ekspektasi aku bakalan ada potongan buahnya ternyata nggak :(",rasa,netral
"""Mixed Berries Pie"".
Pie crunchy seperti biasanya dengan filling mix berries jam, rasanya manis, asem, segar. Mirip rasa yoghurt mix berries sih.
Ekspektasi aku bakalan ada potongan buahnya ternyata nggak :(",rasa,netral
"Tempat nya sangat nyaman,pelayanan ramah,ruangan nya adem banget🥰
Sangat rekomendasi tempat makan disini …",tempat,positif
"Tempat nya sangat nyaman,pelayanan ramah,ruangan nya adem banget🥰
Sangat rekomendasi tempat makan disini …",tempat,positif
"Tempat nya sangat nyaman,pelayanan ramah,ruangan nya adem banget🥰
Sangat rekomendasi tempat makan disini …",pelayanan,positif
"Tempatnya nyaman, dan strategis, makannanya fav banget aku dan kluarga nih 🥰 …",tempat,positif
Tempat nya nyaman.pelayanan sangat bagus.kebersihan terjaga dan pegawai nya ramah dan baik hati.sya sangat senang dengan makan disini,tempat,positif
Tempat nya nyaman.pelayanan sangat bagus.kebersihan terjaga dan pegawai nya ramah dan baik hati.sya sangat senang dengan makan disini,pelayanan,positif
"Belum pernah kesana sih tapi,  Baru lihat foto MC Donal's Bandung aja kayaknya udah bagus banget
Selain itu juga tempatnya juga strategis dari tempat aja kayaknya udah nyaman …",tempat,positif
"Belum pernah kesana sih tapi,  Baru lihat foto MC Donal's Bandung aja kayaknya udah bagus banget
Selain itu juga tempatnya juga strategis dari tempat aja kayaknya udah nyaman …",tempat,positif
"Tempatnya nyaman, makanannya enak. Paslah buat kalian yang nyari tempat makan nyaman dan enak",tempat,positif
"Tempatnya nyaman, makanannya enak. Paslah buat kalian yang nyari tempat makan nyaman dan enak",tempat,positif
"Tempatnya nyaman, pelayanannya ramah, dan pastinya makanan yang disajikan enak dan murah meriah, cocok di kantong pelajar maupun pekerja 😁👍 …",tempat,positif
"Tempatnya nyaman, pelayanannya ramah, dan pastinya makanan yang disajikan enak dan murah meriah, cocok di kantong pelajar maupun pekerja 😁👍 …",pelayanan,positif
"Makanannya enak, pelayanannya juga ramah pkoknya Good👍🏻👍🏻 …",pelayanan,positif
Tempat nyaman dan enak untung bersantaj menikmati weekend dengan keluarga,tempat,positif
"Dari segi pelayanan. Penyajiannya, makanannya serta suasananya semuanya fervek... Saya sangat2 merekomendasikan buat masyarakat sekitarnya atau pun yg melewati mc donal's ini bsa singgah untuk mencoba atau menikmati hidangan yg tersedia di sana....",pelayanan,positif
"Tempatnya enak, pelayanannya baguss, sangat wort it, penyajiannya cepattt, mantapp",tempat,positif
"Tempatnya enak, pelayanannya baguss, sangat wort it, penyajiannya cepattt, mantapp",pelayanan,positif
"Makanannya lengkap dan enak sesuai selera.
Pelayanan nya bagus,sopan,dan cepat.
Suasana nyaman dan tenang cocok buat refreshing.",pelayanan,positif
"Makanan, sangat enak serta memanjakan setiap penikmat ayam goreng crispy
Layanan, tersedia Drive thru yg dapat memudahkan konsumen serta pelayanan yg baik dari para karyawan …",pelayanan,positif
Mc.Donald's ini  memiliki area Masuk sangat teratur dan jalur Drive thrue memanjakan konsumen untuk membeli.Tempat Parkir yang cukup baik mobil dan sepeda motor. …,tempat,positif
"Pelayanan nya sangat baik cukup puas sekali, ayam khimci nya juga mantull untuk burger nya disini ok bangetsih juara pokoknya",pelayanan,positif
"Hari ini makan siang lagi bareng teman kerja di McDonald buah batu 🥰 Pelayanan staff nya ramah semua loh.  Kebetulan juga ga terlalu rame, jadi sangat nyaman. Untuk rasa, ga usah di ragukan ya guys. Mcd itu pilihan terbaik saat tengah bulan belum gajian hehe.. jangan lupa ajak temen dan keluarga makan disini ya.. …",pelayanan,positif
"Hari ini makan siang lagi bareng teman kerja di McDonald buah batu 🥰 Pelayanan staff nya ramah semua loh.  Kebetulan juga ga terlalu rame, jadi sangat nyaman. Untuk rasa, ga usah di ragukan ya guys. Mcd itu pilihan terbaik saat tengah bulan belum gajian hehe.. jangan lupa ajak temen dan keluarga makan disini ya.. …",rasa,positif
"Pelayanan yang sangat baik, menu nya begitu banyak dan sangat cepat dalam penyajiannya. tempatnya bersih dan fasilitas nya juga baik. Rekomen banget biar bisa dateng lagi kesini",pelayanan,positif
"Pelayanan yang sangat baik, menu nya begitu banyak dan sangat cepat dalam penyajiannya. tempatnya bersih dan fasilitas nya juga baik. Rekomen banget biar bisa dateng lagi kesini",tempat,positif
"tempatnya nyaman, pelayanan nya ramah, dan makanan yang dihidangkan cepat.",tempat,positif
"tempatnya nyaman, pelayanan nya ramah, dan makanan yang dihidangkan cepat.",pelayanan,positif
Tempatnya selalu ramai apalagi ketika sore menjelang malam banyak mahasiswa yang nongkrong di sini,tempat,netral
"pelayanannya sangat baik,tempatnya bagus bersih,dn makanannya enak2 semuanya,",pelayanan,positif
"pelayanannya sangat baik,tempatnya bagus bersih,dn makanannya enak2 semuanya,",tempat,positif
"Tempat makan yang sangat nyaman
Bersih, tertata dan Pelayanan yang baik",tempat,positif
"Tempat makan yang sangat nyaman
Bersih, tertata dan Pelayanan yang baik",pelayanan,positif
"Tempatnya nyaman, bersih, cocok buat nongkrong juga, pelayanan baik, klo malem banyak mahasiswa yang sedang ngerjain tugas kampus sambil makan dan minum disini. …",tempat,positif
"Tempatnya nyaman, bersih, cocok buat nongkrong juga, pelayanan baik, klo malem banyak mahasiswa yang sedang ngerjain tugas kampus sambil makan dan minum disini. …",pelayanan,positif
Tempatnya cozy rnak bgt buat kumpul2 dan seperti biasa makanan di mcd ga ada yg pernah gagal luvvv bgtt 😍 …,tempat,positif
"Disini makanannya enak-enak semua👍dan pelayanannya ramah dan profesional,tempatnya juga bagus dan terjamin kebersihannya sangat rapi dan suasanannya sangat bagus untuk menghilangkan rasa penat,capek dan lelah, apalagi kalo buat kumpul makan bersama keluarga besar cukup kesini aja …",pelayanan,positif
"Disini makanannya enak-enak semua👍dan pelayanannya ramah dan profesional,tempatnya juga bagus dan terjamin kebersihannya sangat rapi dan suasanannya sangat bagus untuk menghilangkan rasa penat,capek dan lelah, apalagi kalo buat kumpul makan bersama keluarga besar cukup kesini aja …",tempat,positif
"Disini makanannya enak-enak semua👍dan pelayanannya ramah dan profesional,tempatnya juga bagus dan terjamin kebersihannya sangat rapi dan suasanannya sangat bagus untuk menghilangkan rasa penat,capek dan lelah, apalagi kalo buat kumpul makan bersama keluarga besar cukup kesini aja …",rasa,positif
Tempat nya enak.. buat main anak jg enak &nyaman..,tempat,positif
"Menu makanan nya sangat lengkap, soal rasa McDonald's ga ada tandingan nya, saya dari dulu sampai sekarang selalu sempatkan diri makan disini, untuk pelayanan sangat baik dan sangat memuaskan, kebersihan juga terjaga, semoga kedepan semakin lebih oke lagi ya",rasa,positif
"Menu makanan nya sangat lengkap, soal rasa McDonald's ga ada tandingan nya, saya dari dulu sampai sekarang selalu sempatkan diri makan disini, untuk pelayanan sangat baik dan sangat memuaskan, kebersihan juga terjaga, semoga kedepan semakin lebih oke lagi ya",pelayanan,positif
"Salah satu tempat makan yang rekomendasi, makanannya enak, pelayanannya ramah dan suasananya santai buat hang out bersama teman.",tempat,positif
"Salah satu tempat makan yang rekomendasi, makanannya enak, pelayanannya ramah dan suasananya santai buat hang out bersama teman.",pelayanan,positif
"semua makananx enak enak, jenis makanan apa aja lengkap,
pelayananya mantap, ramah tama, bersih.
suasananya ramai juga, udarax sejuk cocok untuk kaum mudah mudih yang lagi berlibur,.",pelayanan,positif
"Nyobain eskrim yang baru, lumayan enak. Tempatnya enak juga karena lumayan luas, ada free wifi juga karena banyak orang yang ngerjain tugas. Cuma masukan aja untuk pelayan agar lebih cekatan dan banyak karena yang antri dan yang nunggu banyak. Overall lumayan sih apalagi menu ice cream.",tempat,positif
"makanannya enak²,tempatnya juga nyaman pkonya rekomendasi banget buat santai² bareng seseorang deh",tempat,positif
Semua resto McD selalu bikin nyaman apalagi kalo bawa anak² pasti seneng soalnya tempatnya kids friendly ditambah menu²nya jg bervariasi tiap bulannya.. Mantapss emang,tempat,positif
"Gk nyeselll di sini makanannya enak""semua👍dan pelayanannya sngat""ramah dan profesional,tempatnya juga bagus dan terjamin kebersihannya sangat rapi dan suasanannya sangat bagus untuk menghilangkan rasa penat,capek dan lelah, apalagi kalo buat kumpul makan""bersama keluarga besar cukup kesini aja🥰🥰 …",pelayanan,positif
"Gk nyeselll di sini makanannya enak""semua👍dan pelayanannya sngat""ramah dan profesional,tempatnya juga bagus dan terjamin kebersihannya sangat rapi dan suasanannya sangat bagus untuk menghilangkan rasa penat,capek dan lelah, apalagi kalo buat kumpul makan""bersama keluarga besar cukup kesini aja🥰🥰 …",tempat,positif
"Gk nyeselll di sini makanannya enak""semua👍dan pelayanannya sngat""ramah dan profesional,tempatnya juga bagus dan terjamin kebersihannya sangat rapi dan suasanannya sangat bagus untuk menghilangkan rasa penat,capek dan lelah, apalagi kalo buat kumpul makan""bersama keluarga besar cukup kesini aja🥰🥰 …",rasa,positif
"Tempat bersih ,rapi pelayanya ramah  sopan murah senyum  suananya nyaman  buat santai sangat menyenangkan untuk  wieke dan hari libur.",tempat,positif
"Tempat yang nyaman, dan makanan enak bersama teman dan keluarga pelayanan baik",tempat,positif
"Tempat yang nyaman, dan makanan enak bersama teman dan keluarga pelayanan baik",pelayanan,positif
"Mcdonald's memang yg terbaik
penyajiannya ,pelayanan, kebersihan , dan makanannya udah ga diragukan lagi selalah nomer 1 dihati",pelayanan,positif
"Tempat yang makan yang baik, pelayanan yang sangat memuaskan dan suasana yang yang sangat mendukung dan nyaman untuk tempat bersantai",tempat,positif
"Tempat yang makan yang baik, pelayanan yang sangat memuaskan dan suasana yang yang sangat mendukung dan nyaman untuk tempat bersantai",pelayanan,positif
"Tempat nya nyaman, bersih... pelayanannya Ramah dan Cepat ... Harga pas dikantong untuk makan berkumpul bersama keluarga",tempat,positif
"Tempat nya nyaman, bersih... pelayanannya Ramah dan Cepat ... Harga pas dikantong untuk makan berkumpul bersama keluarga",pelayanan,positif
"Tempat nya nyaman, bersih... pelayanannya Ramah dan Cepat ... Harga pas dikantong untuk makan berkumpul bersama keluarga",harga,positif
"Selalu menjadi tempat favorit makan bersama keluarga... anak cucu :) baik untuk makan siang ataupun makan malam... apalagi jika sedang perjalanan jauh / luar kota, sangat praktis untuk dibawa (take away). …",tempat,positif
Pelayanan nya bgus bgt dan nyaman banget tempat nya  cocok untuk kumpul bareng teman dan keluarga dan rasa makanan nya mantul bgt dah...,pelayanan,positif
Pelayanan nya bgus bgt dan nyaman banget tempat nya  cocok untuk kumpul bareng teman dan keluarga dan rasa makanan nya mantul bgt dah...,tempat,positif
Pelayanan nya bgus bgt dan nyaman banget tempat nya  cocok untuk kumpul bareng teman dan keluarga dan rasa makanan nya mantul bgt dah...,rasa,positif
